Nome	Identificação	Catmat	Quantidade	Estoque ideal	Posição	Categoria	Descrição
CIRCUITO INTEGRADO TL072	Csm-0001	0	566	200	Xxx-0000	Consumo	CIRCUITO INTEGRADO TL072
CIRCUITO INTEGRADO TL074	Csm-0001	0	95	200	Xxx-0000	Consumo	CIRCUITO INTEGRADO TL074
AMP. OP. INSTRUMENTAÇÃO - INA129P	Csm-0001	0	11	200	Xxx-0000	Consumo	AMP. OP. INSTRUMENTAÇÃO - INA129P
CIRCUITO INTEGRADO - VA74ICN	Csm-0001	0	482	200	Xxx-0000	Consumo	CIRCUITO INTEGRADO - VA74ICN
CIRCUITO INTEGRADO - CD4510	Csm-0001	0	100	200	Xxx-0000	Consumo	CIRCUITO INTEGRADO - CD4510
CIRCUITO INTEGRADO - CD4511	Csm-0001	0	99	200	Xxx-0000	Consumo	CIRCUITO INTEGRADO - CD4511
CIRCUITO INTEGRADO UA741CN	Csm-0001	0	0	200	Xxx-0000	Consumo	CIRCUITO INTEGRADO UA741CN
CONECTOR RJ-45	Csm-0001	0	9	0	Xxx-0000	Consumo	CONECTOR RJ-45
CONECTOR USB (PADRÃO B – FÊMEA) - 4 PINOS	Csm-0001	0	96	100	Xxx-0000	Consumo	CONECTOR USB (PADRÃO B – FÊMEA) - 4 PINOS
DIODO 1N4007	Csm-0001	0	1412	100	Xxx-0000	Consumo	DIODO 1N4007
DIODO 1N4148	Csm-0001	0	1818	100	Xxx-0000	Consumo	DIODO 1N4148
DIODO 1N5408	Csm-0001	0	180	100	Xxx-0000	Consumo	DIODO 1N5408
DIODO 1N5704	Csm-0001	0	0	100	Xxx-0000	Consumo	DIODO 1N5704
DIODO 6,8V	Csm-0001	0	14	100	Xxx-0000	Consumo	DIODO 6,8V
DIODO ZENER 1,3W 51V	Csm-0001	0	505	100	Xxx-0000	Consumo	DIODO ZENER 1,3W 51V
DIODO ZENER 3V9 1/2W	Csm-0001	0	11	100	Xxx-0000	Consumo	DIODO ZENER 3V9 1/2W
DIODO ZENER 9V1 1/2W	Csm-0001	0	890	100	Xxx-0000	Consumo	DIODO ZENER 9V1 1/2W
DIODO ZENNER 1N4739 9,1V	Csm-0001	0	976	100	Xxx-0000	Consumo	DIODO ZENNER 1N4739 9,1V
DIODO ZENNER 4,3V	Csm-0001	0	363	100	Xxx-0000	Consumo	DIODO ZENNER 4,3V
DISPLAY 7 SEGUIMENTOS ANODO COMUM	Csm-0001	0	0	100	Xxx-0000	Consumo	DISPLAY 7 SEGUIMENTOS ANODO COMUM
DISPLAY 7 SEGUIMENTOS CATODO COMUM	Csm-0001	0	26	100	Xxx-0000	Consumo	DISPLAY 7 SEGUIMENTOS CATODO COMUM
FUSÍVEL DE VIDRO 5x20 0,25A	Csm-0001	0	0	500	Xxx-0000	Consumo	FUSÍVEL DE VIDRO 5x20 0,25A
FUSÍVEL DE VIDRO 5x20 0,5A	Csm-0001	0	93	100	Xxx-0000	Consumo	FUSÍVEL DE VIDRO 5x20 0,5A
FUSÍVEL DE VIDRO 5x20 1A	Csm-0001	0	171	100	Xxx-0000	Consumo	FUSÍVEL DE VIDRO 5x20 1A
FUSÍVEL DE VIDRO 5x20 1,6A	Csm-0001	0	13	100	Xxx-0000	Consumo	FUSÍVEL DE VIDRO 5x20 1,6A
FUSÍVEL DE VIDRO 5x20 5A	Csm-0001	0	56	100	Xxx-0000	Consumo	FUSÍVEL DE VIDRO 5x20 5A
FUSÍVEL DE VIDRO 5x20 6A	Csm-0001	0	764	100	Xxx-0000	Consumo	FUSÍVEL DE VIDRO 5x20 6A
FUSÍVEL DE VIDRO 5x20 7A	Csm-0001	0	48	100	Xxx-0000	Consumo	FUSÍVEL DE VIDRO 5x20 7A
FUSÍVEL DE VIDRO 6x20 10A	Csm-0001	0	795	100	Xxx-0000	Consumo	FUSÍVEL DE VIDRO 6x20 10A
FUSÍVEL DE VIDRO 6x30 10A	Csm-0001	0	0	0	Xxx-0000	Consumo	FUSÍVEL DE VIDRO 6x30 10A
FUSÍVEL DE VIDRO 6x30 1A	Csm-0001	0	0	100	Xxx-0000	Consumo	FUSÍVEL DE VIDRO 6x30 1A
FUSÍVEL DE VIDRO 6x30 5A	Csm-0001	0	0	0	Xxx-0000	Consumo	FUSÍVEL DE VIDRO 6x30 5A
INDUTORES	Csm-0001	0	24	0	Xxx-0000	Consumo	INDUTORES
ISOLADOR MICA SINTETICA TO-220 COM FURO - REF. IMPLASTEC SILGLASS CINZA	Csm-0001	0	529	100	Xxx-0000	Consumo	ISOLADOR MICA SINTETICA TO-220 COM FURO - REF. IMPLASTEC SILGLASS CINZA
LCD 2X16 VERDE SEM BACKLIGHT	Csm-0001	0	17	50	Xxx-0000	Consumo	LCD 2X16 VERDE SEM BACKLIGHT
LED 3MM – AMARELO	Csm-0001	0	503	200	Xxx-0000	Consumo	LED 3MM – AMARELO
LED 3MM – VERMELHO	Csm-0001	0	502	200	Xxx-0000	Consumo	LED 3MM – VERMELHO
LED 5MM - BICOLOR	Csm-0001	0	484	200	Xxx-0000	Consumo	LED 5MM - BICOLOR
LED 5MM – AMARELO	Csm-0001	0	414	200	Xxx-0000	Consumo	LED 5MM – AMARELO
LED EMISSOR DE INFRA-VERMELHO – TIL32 - 2,5MM	Csm-0001	0	487	200	Xxx-0000	Consumo	LED EMISSOR DE INFRA-VERMELHO – TIL32 - 2,5MM
LED EMISSOR DE INFRA-VERMELHO – TIL32 - 5MM	Csm-0001	0	445	200	Xxx-0000	Consumo	LED EMISSOR DE INFRA-VERMELHO – TIL32 - 5MM
LED VERDE 5mm	Csm-0001	0	313	200	Xxx-0000	Consumo	LED VERDE 5mm
LED VERMELHO 5mm	Csm-0001	0	115	200	Xxx-0000	Consumo	LED VERMELHO 5mm
MANTA SILICONE PRENSA TERMICA 1MM 50X50	Csm-0001	0	2	0	Xxx-0000	Consumo	MANTA SILICONE PRENSA TERMICA 1MM 50X50
MICROCONTROLADOR - PIC18F2550 (SPDIP)	Csm-0001	0	42	50	Xxx-0000	Consumo	MICROCONTROLADOR - PIC18F2550 (SPDIP)
MICROCONTROLADOR – PIC18F4550 (PDIP)	Csm-0001	0	12	50	Xxx-0000	Consumo	MICROCONTROLADOR – PIC18F4550 (PDIP)
MICROCONTROLADOR - ATMEGA 328P-PU	Csm-0001	0	21	50	Xxx-0000	Consumo	MICROCONTROLADOR - ATMEGA 328P-PU
MICROFONE ELETRETO 2 TERMINAIS 10X7	Csm-0001	0	477	100	Xxx-0000	Consumo	MICROFONE ELETRETO 2 TERMINAIS 10X7
PERCLORETO DE FERRO PÓ PARA SOLUÇÃO DE CORROSÃO PCI – 500G	Csm-0001	0	7	10	Xxx-0000	Consumo	PERCLORETO DE FERRO PÓ PARA SOLUÇÃO DE CORROSÃO PCI – 500G
PLACA DE CIRCUITO IMPRESSO DE FENOLITE VIRGEM SIMPLES 10X20CM	Csm-0001	0	15	50	Xxx-0000	Consumo	PLACA DE CIRCUITO IMPRESSO DE FENOLITE VIRGEM SIMPLES 10X20CM
Flip Flop JK CMOS – CD4027BE 	Csm-0001	0	0	200	Xxx-0000	Consumo	Flip Flop JK CMOS – CD4027BE 
PORTA LÓGICA CMOS - 74HC00 - NAND	Csm-0001	0	71	200	Xxx-0000	Consumo	PORTA LÓGICA CMOS - 74HC00 - NAND
PORTA LÓGICA TTL – 74LS00 - NAND	Csm-0001	0	1	200	Xxx-0000	Consumo	PORTA LÓGICA TTL – 74LS00 - NAND
PORTA LÓGICA CMOS - 74HC02 - NOR	Csm-0001	0	90	200	Xxx-0000	Consumo	PORTA LÓGICA CMOS - 74HC02 - NOR
PORTA LÓGICA TTL – 74LS02 - NOR	Csm-0001	0	5	200	Xxx-0000	Consumo	PORTA LÓGICA TTL – 74LS02 - NOR
PORTA LÓGICA CMOS - 74HC04 - NOT	Csm-0001	0	184	200	Xxx-0000	Consumo	PORTA LÓGICA CMOS - 74HC04 - NOT
PORTA LÓGICA TTL – 74LS04 - NOT	Csm-0001	0	68	200	Xxx-0000	Consumo	PORTA LÓGICA TTL – 74LS04 - NOT
PORTA LÓGICA CMOS - 74HC08 - AND	Csm-0001	0	94	200	Xxx-0000	Consumo	PORTA LÓGICA CMOS - 74HC08 - AND
PORTA LÓGICA TTL – 74LS08 - AND	Csm-0001	0	230	200	Xxx-0000	Consumo	PORTA LÓGICA TTL – 74LS08 - AND
PORTA LÓGICA CMOS - 74HC32 - OR	Csm-0001	0	129	200	Xxx-0000	Consumo	PORTA LÓGICA CMOS - 74HC32 - OR
PORTA LÓGICA TTL – 74LS32 - OR	Csm-0001	0	199	200	Xxx-0000	Consumo	PORTA LÓGICA TTL – 74LS32 - OR
PORTA LÓGICA TTL – 74LS76 - JK FLIP-FLOPS WITH SET AND CLEAR	Csm-0001	0	102	200	Xxx-0000	Consumo	PORTA LÓGICA TTL – 74LS76 - JK FLIP-FLOPS WITH SET AND CLEAR
PORTA LÓGICA CMOS - 74HC157 - SELECTOR/MULTIPLEXER	Csm-0001	0	101	200	Xxx-0000	Consumo	PORTA LÓGICA CMOS - 74HC157 - SELECTOR/MULTIPLEXER
PORTA LÓGICA CMOS - 74HC138 DECODER/DEMULTIPLEXER	Csm-0001	0	105	200	Xxx-0000	Consumo	PORTA LÓGICA CMOS - 74HC138 DECODER/DEMULTIPLEXER
POTENCIOMETRO 10K?	Csm-0001	0	992	200	Xxx-0000	Consumo	POTENCIOMETRO 10K?
POTENCIOMETRO 1K?	Csm-0001	0	956	200	Xxx-0000	Consumo	POTENCIOMETRO 1K?
POTENCIOMETRO 100K?	Csm-0001	0	989	200	Xxx-0000	Consumo	POTENCIOMETRO 100K?
POTENCIÔMETRO LINEAR 1 VOLTA 1/8" – 100K	Csm-0001	0	51	50	Xxx-0000	Consumo	POTENCIÔMETRO LINEAR 1 VOLTA 1/8" – 100K
POTENCIÔMETRO LINEAR 1 VOLTA 1/8" – 1K	Csm-0001	0	50	50	Xxx-0000	Consumo	POTENCIÔMETRO LINEAR 1 VOLTA 1/8" – 1K
POTENCIÔMETRO LINEAR 1 VOLTA 1/8" – 5K	Csm-0001	0	48	50	Xxx-0000	Consumo	POTENCIÔMETRO LINEAR 1 VOLTA 1/8" – 5K
POTENCIÔMETRO LINEAR 1 VOLTA 1/8" – 10K	Csm-0001	0	51	50	Xxx-0000	Consumo	POTENCIÔMETRO LINEAR 1 VOLTA 1/8" – 10K
POTENCIÔMETRO LINEAR 1 VOLTA 1/8" – 50K	Csm-0001	0	47	50	Xxx-0000	Consumo	POTENCIÔMETRO LINEAR 1 VOLTA 1/8" – 50K
POTENCIÔMETRO LINEAR 1 VOLTA 1/8" – 200K	Csm-0001	0	49	50	Xxx-0000	Consumo	POTENCIÔMETRO LINEAR 1 VOLTA 1/8" – 200K
POTENCIÔMETRO LINEAR 1 VOLTA 1/8" – 500K	Csm-0001	0	45	50	Xxx-0000	Consumo	POTENCIÔMETRO LINEAR 1 VOLTA 1/8" – 500K
POTENCIÔMETRO LINEAR 1 VOLTA 1/8" – 1M	Csm-0001	0	42	50	Xxx-0000	Consumo	POTENCIÔMETRO LINEAR 1 VOLTA 1/8" – 1M
REGULADOR DE TENSÃO – 7805	Csm-0001	0	141	100	Xxx-0000	Consumo	REGULADOR DE TENSÃO – 7805
REGULADOR DE TENSÃO – 7809	Csm-0001	0	593	100	Xxx-0000	Consumo	REGULADOR DE TENSÃO – 7809
REGULADOR DE TENSÃO – 7812	Csm-0001	0	165	100	Xxx-0000	Consumo	REGULADOR DE TENSÃO – 7812
REGULADOR DE TENSÃO – 7815	Csm-0001	0	91	100	Xxx-0000	Consumo	REGULADOR DE TENSÃO – 7815
REGULADOR DE TENSÃO – 7905	Csm-0001	0	97	100	Xxx-0000	Consumo	REGULADOR DE TENSÃO – 7905
REGULADOR DE TENSÃO – 7909	Csm-0001	0	100	100	Xxx-0000	Consumo	REGULADOR DE TENSÃO – 7909
REGULADOR DE TENSÃO – 7912	Csm-0001	0	96	100	Xxx-0000	Consumo	REGULADOR DE TENSÃO – 7912
REGULADOR DE TENSÃO – LM1117	Csm-0001	0	0	100	Xxx-0000	Consumo	REGULADOR DE TENSÃO – LM1117
REGULADOR DE TENSÃO – LM317	Csm-0001	0	180	100	Xxx-0000	Consumo	REGULADOR DE TENSÃO – LM317
REGULADOR DE TENSÃO – LM337	Csm-0001	0	99	100	Xxx-0000	Consumo	REGULADOR DE TENSÃO – LM337
RESISTOR DE CARBONO - 1/2W – 100K?	Csm-0001	0	1801	500	Xxx-0000	Consumo	RESISTOR DE CARBONO - 1/2W – 100K?
RESISTOR DE CARBONO - 1/2W – 100?	Csm-0001	0	1795	500	Xxx-0000	Consumo	RESISTOR DE CARBONO - 1/2W – 100?
RESISTOR DE CARBONO - 1/2W – 10K?	Csm-0001	0	1815	500	Xxx-0000	Consumo	RESISTOR DE CARBONO - 1/2W – 10K?
RESISTOR DE CARBONO - 1/2W – 150?	Csm-0001	0	1975	500	Xxx-0000	Consumo	RESISTOR DE CARBONO - 1/2W – 150?
RESISTOR DE CARBONO - 1/2W – 1K?	Csm-0001	0	656	500	Xxx-0000	Consumo	RESISTOR DE CARBONO - 1/2W – 1K?
RESISTOR DE CARBONO - 1/2W – 2,7K?	Csm-0001	0	621	500	Xxx-0000	Consumo	RESISTOR DE CARBONO - 1/2W – 2,7K?
RESISTOR DE CARBONO - 1/2W – 22K?	Csm-0001	0	938	500	Xxx-0000	Consumo	RESISTOR DE CARBONO - 1/2W – 22K?
RESISTOR DE CARBONO - 1/2W – 330?	Csm-0001	0	1316	500	Xxx-0000	Consumo	RESISTOR DE CARBONO - 1/2W – 330?
RESISTOR DE CARBONO - 1/2W – 38K?	Csm-0001	0	0	500	Xxx-0000	Consumo	RESISTOR DE CARBONO - 1/2W – 38K?
RESISTOR DE CARBONO - 1/2W – 6,8K?	Csm-0001	0	1968	500	Xxx-0000	Consumo	RESISTOR DE CARBONO - 1/2W – 6,8K?
RESISTOR DE CARBONO - 1/2W – 8,2K?	Csm-0001	0	1824	500	Xxx-0000	Consumo	RESISTOR DE CARBONO - 1/2W – 8,2K?
RESISTOR DE CARBONO - 5W – 100?	Csm-0001	0	66	100	Xxx-0000	Consumo	RESISTOR DE CARBONO - 5W – 100?
RESISTOR DE CARBONO - 5W – 10?	Csm-0001	0	339	100	Xxx-0000	Consumo	RESISTOR DE CARBONO - 5W – 10?
