Nome	Identificação	Catmat	Quantidade	Estoque ideal	Posição	Categoria	Descrição
CIRCUITO INTEGRADO NE555	61	0	112	200	2	Consumo	CIRCUITO INTEGRADO NE555
CIRCUITO INTEGRADO LM741	62	0	200	200	2	Consumo	CIRCUITO INTEGRADO LM741
CIRCUITO INTEGRADO 741	63	0	81	200	2	Consumo	CIRCUITO INTEGRADO 741
CIRCUITO INTEGRADO NE556 (LM 556)	64	0	585	200	2	Consumo	CIRCUITO INTEGRADO NE556 (LM 556)
CIRCUITO INTEGRADO SG3524 - REGULATING PULSE WIDTH MODULATORS	65	0	116	200	2	Consumo	CIRCUITO INTEGRADO SG3524 - REGULATING PULSE WIDTH MODULATORS
CIRCUITO INTEGRADO C3751PS 	66	0	13	200	2	Consumo	CIRCUITO INTEGRADO C3751PS 
CIRCUITO INTEGRADO TL072	67	0	566	200	2	Consumo	CIRCUITO INTEGRADO TL072
CIRCUITO INTEGRADO TL074	68	0	95	200	2	Consumo	CIRCUITO INTEGRADO TL074
AMP. OP. INSTRUMENTAÇÃO - INA129P	69	0	11	200	2	Consumo	AMP. OP. INSTRUMENTAÇÃO - INA129P
CIRCUITO INTEGRADO - VA74ICN	70	0	482	200	2	Consumo	CIRCUITO INTEGRADO - VA74ICN
CIRCUITO INTEGRADO - CD4510	71	0	100	200	2	Consumo	CIRCUITO INTEGRADO - CD4510
CIRCUITO INTEGRADO - CD4511	72	0	99	200	2	Consumo	CIRCUITO INTEGRADO - CD4511
CIRCUITO INTEGRADO UA741CN	73	0	0	200	2	Consumo	CIRCUITO INTEGRADO UA741CN
CONECTOR RJ-45	74	0	9	0	2	Consumo	CONECTOR RJ-45
CONECTOR USB (PADRÃO B – FÊMEA) - 4 PINOS	75	0	96	100	2	Consumo	CONECTOR USB (PADRÃO B – FÊMEA) - 4 PINOS
DIODO 1N4007	76	0	1412	100	2	Consumo	DIODO 1N4007
DIODO 1N4148	77	0	1818	100	2	Consumo	DIODO 1N4148
DIODO 1N5408	78	0	180	100	2	Consumo	DIODO 1N5408
DIODO 1N5704	79	0	0	100	2	Consumo	DIODO 1N5704
DIODO 6,8V	80	0	14	100	2	Consumo	DIODO 6,8V
DIODO ZENER 1,3W 51V	81	0	505	100	2	Consumo	DIODO ZENER 1,3W 51V
DIODO ZENER 3V9 1/2W	82	0	11	100	2	Consumo	DIODO ZENER 3V9 1/2W
DIODO ZENER 9V1 1/2W	83	0	890	100	2	Consumo	DIODO ZENER 9V1 1/2W
DIODO ZENNER 1N4739 9,1V	84	0	976	100	2	Consumo	DIODO ZENNER 1N4739 9,1V
DIODO ZENNER 4,3V	85	0	363	100	2	Consumo	DIODO ZENNER 4,3V
DISPLAY 7 SEGUIMENTOS ANODO COMUM	86	0	0	100	2	Consumo	DISPLAY 7 SEGUIMENTOS ANODO COMUM
DISPLAY 7 SEGUIMENTOS CATODO COMUM	87	0	26	100	2	Consumo	DISPLAY 7 SEGUIMENTOS CATODO COMUM
FUSÍVEL DE VIDRO 5x20 0,25A	88	0	0	500	2	Consumo	FUSÍVEL DE VIDRO 5x20 0,25A
FUSÍVEL DE VIDRO 5x20 0,5A	89	0	93	100	2	Consumo	FUSÍVEL DE VIDRO 5x20 0,5A
FUSÍVEL DE VIDRO 5x20 1A	90	0	171	100	2	Consumo	FUSÍVEL DE VIDRO 5x20 1A
FUSÍVEL DE VIDRO 5x20 1,6A	91	0	13	100	2	Consumo	FUSÍVEL DE VIDRO 5x20 1,6A
FUSÍVEL DE VIDRO 5x20 5A	92	0	56	100	2	Consumo	FUSÍVEL DE VIDRO 5x20 5A
FUSÍVEL DE VIDRO 5x20 6A	93	0	764	100	2	Consumo	FUSÍVEL DE VIDRO 5x20 6A
FUSÍVEL DE VIDRO 5x20 7A	94	0	48	100	2	Consumo	FUSÍVEL DE VIDRO 5x20 7A
FUSÍVEL DE VIDRO 6x20 10A	95	0	795	100	2	Consumo	FUSÍVEL DE VIDRO 6x20 10A
FUSÍVEL DE VIDRO 6x30 10A	96	0	0	0	2	Consumo	FUSÍVEL DE VIDRO 6x30 10A
FUSÍVEL DE VIDRO 6x30 1A	97	0	0	100	2	Consumo	FUSÍVEL DE VIDRO 6x30 1A
FUSÍVEL DE VIDRO 6x30 5A	98	0	0	0	2	Consumo	FUSÍVEL DE VIDRO 6x30 5A
INDUTORES	99	0	24	0	2	Consumo	INDUTORES
ISOLADOR MICA SINTETICA TO-220 COM FURO - REF. IMPLASTEC SILGLASS CINZA	100	0	529	100	2	Consumo	ISOLADOR MICA SINTETICA TO-220 COM FURO - REF. IMPLASTEC SILGLASS CINZA
LCD 2X16 VERDE SEM BACKLIGHT	101	0	17	50	2	Consumo	LCD 2X16 VERDE SEM BACKLIGHT
LED 3MM – AMARELO	102	0	503	200	2	Consumo	LED 3MM – AMARELO
LED 3MM – VERMELHO	103	0	502	200	2	Consumo	LED 3MM – VERMELHO
LED 5MM - BICOLOR	104	0	484	200	2	Consumo	LED 5MM - BICOLOR
LED 5MM – AMARELO	105	0	414	200	2	Consumo	LED 5MM – AMARELO
LED EMISSOR DE INFRA-VERMELHO – TIL32 - 2,5MM	106	0	487	200	2	Consumo	LED EMISSOR DE INFRA-VERMELHO – TIL32 - 2,5MM
LED EMISSOR DE INFRA-VERMELHO – TIL32 - 5MM	107	0	445	200	2	Consumo	LED EMISSOR DE INFRA-VERMELHO – TIL32 - 5MM
LED VERDE 5mm	108	0	313	200	2	Consumo	LED VERDE 5mm
LED VERMELHO 5mm	109	0	115	200	2	Consumo	LED VERMELHO 5mm
MANTA SILICONE PRENSA TERMICA 1MM 50X50	110	0	2	0	2	Consumo	MANTA SILICONE PRENSA TERMICA 1MM 50X50
MICROCONTROLADOR - PIC18F2550 (SPDIP)	111	0	42	50	2	Consumo	MICROCONTROLADOR - PIC18F2550 (SPDIP)
